ROCO_CLEF_07350	C0203126;C0203051
ROCO_CLEF_57724	C1318509;C1561538;C0015376
ROCO_CLEF_47420	C1334278
ROCO_CLEF_65369	C0013218;C1458156;C0034619;C1522449;C2717829;C0013216;C0817096;C3665472;C0441633
ROCO_CLEF_58710	C1963113;C0027342
ROCO_CLEF_38440	C0441606;C1553386;C0228391;C1561542;C0344329;C0005847;C0015811;C0019552;C0018670
ROCO_CLEF_53279	C0013218;C0040395;C4283785;C1836830;C0034579;C2717829;C0013216;C3665472;C0684320;C0684321;C0038257;C0441633;C0040405
ROCO_CLEF_30821	C0016538;C0033363;C0179407
ROCO_CLEF_58609	C0029053;C0040399;C0039866;C0036429;C0228391;C1265876;C0015811;C0019552;C0018670
ROCO_CLEF_34007	C0040395;C0034579;C0205400;C0607422;C0040405;C0020885
ROCO_CLEF_48224	C0441633;C1176475;C0040399;C0152013;C0280096;C0334344;C0751437;C1266063;C1555588;C1515974;C0751438;C4284930
ROCO_CLEF_24286	C1328685;C0023884;C0007874;C2939420;C0027627
ROCO_CLEF_17219	C1962945;C1548003;C0036429;C0043299;C0223792;C0222682;C1176472;C0184932
ROCO_CLEF_63825	C0175730;C0034896;C0772294;C0205400;C0221198
ROCO_CLEF_10022	C3887532;C0006141;C0041582;C1963256;C0817096;C0441633
ROCO_CLEF_46693	C0040395;C1318154;C0003483;C0034579;C0162868;C0033363;C0016538;C0040405
ROCO_CLEF_34505	C0817096;C0796494;C0441633
ROCO_CLEF_16858	C0040426
ROCO_CLEF_17662	C0043299;C1962945;C1548003;C1553386;C0521530;C0817096;C0796494
ROCO_CLEF_14558	C1962945;C1548003;C0043299;C0817096;C0796494
ROCO_CLEF_68313	C0043299;C1962945;C0016129;C0921176;C0525187
ROCO_CLEF_21466	C1320102;C0005775;C1516559;C0224155;C0038351;C0042345;C0009924;C0449900;C0124688;C0332149
ROCO_CLEF_59648	C0024290;C0024219
ROCO_CLEF_57127	C0040405;C0034579;C0040395;C0000726
ROCO_CLEF_56157	C1522577
ROCO_CLEF_50627	C0687028;C0030274;C2348535;C0038257;C1550227
ROCO_CLEF_31010	C0224417;C0607422
ROCO_CLEF_48776	C4255126;C0002978;C3891555;C1548816
ROCO_CLEF_35412	C0225326;C0037004;C0412555;C0241158;C0041618;C0011900;C0430533;C0584869
ROCO_CLEF_18758	C0264372;C0332523;C1554103;C0723285;C0005847;C2698172;C0817096;C0233494;C0024109;C0016059;C0185115;C0003842;C2825977
ROCO_CLEF_27489	C0023884;C0607422;C0796494;C0009924;C0449900
ROCO_CLEF_35922	C2242558;C3858576;C1551379;C0374082;C0817096;C0700185;C0333581
ROCO_CLEF_21528	C0227813
ROCO_CLEF_06187	C2827501;C0817662;C0220908;C0230373;C1705273;C0040067;C0037949;C0016129;C0038293;C0018563;C0199230
ROCO_CLEF_27168	C0751437;C0935598;C0007874;C0030797;C0079595;C0231881
ROCO_CLEF_29122	C0175649;C0013103;C0011343;C1548003;C1962945;C0012621;C0035139;C0441587;C0224417;C0043299;C0525024
ROCO_CLEF_17886	C0796494;C0005847;C0441633;C0039487;C0935456
ROCO_CLEF_47321	C0040421;C0441610;C1261287;C0947630;C0222720;C0700124;C1829459;C0921177;C1322279;C1184145;C0195897;C0543467;C0012359
ROCO_CLEF_69587	C1293134;C0024202;C0030274;C0014245;C0412555;C0041618;C0746922;C0175631
ROCO_CLEF_18398	C0885657;C0040456
ROCO_CLEF_24148	C0456605;C1963113
ROCO_CLEF_09500	C0014245;C0030274;C0412555;C0041618;C0702058;C0150312;C0771711
ROCO_CLEF_00988	C1552858;C0015252;C0521428;C0007876;C0441633;C0728940;C0184905
ROCO_CLEF_26388	C0746922;C0024202;C0041618;C0412555;C0014245
ROCO_CLEF_20015	C0013687;C1546613;C0228391;C0079595;C0019552;C0441633;C1512346;C0205161;C0231881
ROCO_CLEF_60374	C0751437;C0028778;C1552826;C2586211;C0002978;C0854571;C0038257;C0003842
ROCO_CLEF_48192	C0024348;C3887524;C2328730
ROCO_CLEF_34630	C0412555;C0024947;C0004454;C0041618
ROCO_CLEF_39917	C0020255;C4012110;C1963137;C0079595;C0006104;C0231881
ROCO_CLEF_41459	C0076638;C1285092;C0243144;C0117002;C0441633;C0040132
ROCO_CLEF_63009	C0332148;C1705273;C0031843;C0018792;C0179740
ROCO_CLEF_18486	C0027530;C0240795;C0556030;C1553386;C0231519;C0935598;C1829459;C2347268
ROCO_CLEF_11192	C0497156;C0027530;C0229730;C0744971;C0441633
ROCO_CLEF_29814	C1704302;C0009429;C1962945;C1548003;C3887704;C0376495;C0043299;C0204193;C0087111;C0185115
ROCO_CLEF_53742	C0002191
ROCO_CLEF_39231	C0040395;C0034579;C0018246;C2985765;C0009924;C0441633;C0040405;C0449900
ROCO_CLEF_40163	C1513916;C1962945;C2939420;C0043299;C0817096;C1328685;C0205160;C0027627
ROCO_CLEF_13228	C0228505;C0817096;C0024109
ROCO_CLEF_47870	C0221874;C0175730;C0182537;C0035139;C0441587;C2698261
ROCO_CLEF_23068	C1293134;C0772294;C0030797;C1561542;C0221198;C0723323
ROCO_CLEF_51551	C0497156;C0027530;C0744971;C0009924;C0449900
ROCO_CLEF_29341	C0746922;C0303920;C0024202
ROCO_CLEF_43222	C0040674;C0003842;C0723323
ROCO_CLEF_70716	C0772294;C0022378;C0221198;C0230171;C0000726
ROCO_CLEF_34802	C0175676;C0442184;C0041618;C0023884;C0005682;C0796494;C0203463
ROCO_CLEF_31841	C0028429;C0243069;C0031809;C0015450
ROCO_CLEF_56817	C0751437;C0040184;C0751438;C0015811
ROCO_CLEF_02461	C0040395;C0034579;C0224155;C0038351;C0607422;C0009924;C0333139;C0449900;C0040405
ROCO_CLEF_70735	C0013687;C0013516;C0203378;C0203379;C1546613;C0183129;C0442031;C0221533;C0013524
ROCO_CLEF_05626	C0005558;C0370199;C0772294;C0412555;C0041618;C0700198;C0221198;C1546543
ROCO_CLEF_20966	C1962945;C1548003;C0933845;C0043299;C0817096;C0024109;C0332448;C1546677
ROCO_CLEF_18660	C0751437;C0723285
ROCO_CLEF_35122	C3891555;C1550512;C4255126;C0002978;C1548816
ROCO_CLEF_63664	C0035110;C0949626;C1548003;C3244306;C1962945;C0933845;C1561542;C0043299;C0521530;C0817096;C0024109;C0543467
ROCO_CLEF_24294	C1260969;C1552860;C0040395;C0000726;C0221198;C0034579;C0772294;C0005847;C2586211;C0003617;C0441633;C0040405
ROCO_CLEF_58619	C0013103;C0205039;C1704454;C0006255;C0012621;C0719022;C0009924;C1550618;C0008307;C0449900
ROCO_CLEF_14421	C0023884;C0027627
ROCO_CLEF_16239	C0741847;C0006141;C0929301;C1261287;C3244072;C1550512;C0003842
ROCO_CLEF_46717	C0772294;C0221198
ROCO_CLEF_52671	C2242558;C1551379;C0374082;C0700185;C0147238;C0333581;C0441633
ROCO_CLEF_38614	C0392333;C0006736
ROCO_CLEF_44432	C0010280;C0037303;C0040395;C0034579;C1282573;C0441633;C0040405
ROCO_CLEF_05446	C0441509;C0427579;C0005790;C0000723;C1561542;C1561952;C0087111;C0033972
ROCO_CLEF_67324	C0745348;C0239064;C1306232;C1963113;C0311395;C1522577;C1548817;C1555302;C1533810;C0035139;C1140621;C0028778;C0016356;C1456822;C0854571;C0441587;C0441144;C0038257;C0180921;C0442037;C0003842
ROCO_CLEF_24508	C1578486;C1550655
ROCO_CLEF_50240	C1555302;C1533810;C0042449;C0035139;C0398266;C0441587;C0007430;C0770826
ROCO_CLEF_03041	C4255080;C0203126
ROCO_CLEF_22873	C0227665;C0456824;C0005682;C0038257;C0403608;C0022646
ROCO_CLEF_56330	C0205400;C0027530;C0013990;C1962945;C1548003;C0043299;C0020629
ROCO_CLEF_16977	C0009429;C0056685;C0376495;C3887704;C0087111;C0723719;C1547427;C2911692;C0723712;C1706817
ROCO_CLEF_08035	C0162578;C1261287
ROCO_CLEF_58194	C1963211;C0004048;C0018827;C0031046
ROCO_CLEF_11015	C0013516;C0203378;C0203379;C0183129;C0003842;C0018792;C0024109;C0221533;C0013524;C1705199
ROCO_CLEF_16199	C0751437;C1552826;C0935598;C1705273;C0772294;C0031843;C0006104;C2985765;C0009924;C0221198;C0449900
ROCO_CLEF_00370	C0037993
ROCO_CLEF_53136	C1550472;C2985765;C1533685;C0021485;C0009924;C0449900
ROCO_CLEF_20517	C0441610;C0262512;C0310081;C0262926;C0935598;C0040578
ROCO_CLEF_67460	C0223724;C0223729;C0202165
ROCO_CLEF_46379	C0040395;C0211574;C0034579;C0044729;C0817096;C0018792;C0043474;C0040405
ROCO_CLEF_47350	C0267716;C0520904;C0867390;C0032786;C0241311
ROCO_CLEF_64772	C0607422;C0022646
ROCO_CLEF_07407	C1555302;C1533810;C0180921;C0556030;C0016356;C0035139;C0441587;C0150305
ROCO_CLEF_05770	C0040395;C0741968;C0087086;C1705273;C0034579;C0031843;C3244072;C0040405;C0003842
ROCO_CLEF_45747	C0028778;C0751437;C0040184;C0442037;C0002978;C0751438;C0854571;C0003842
ROCO_CLEF_57234	C0028977;C0008114;C0023884;C0796494;C0721776
ROCO_CLEF_59636	C0040395;C0772294;C0028429;C0441633;C0221198
ROCO_CLEF_44426	C4084721;C0033363;C0016538;C0817096;C0024109;C0009924;C0003842;C0449900
ROCO_CLEF_05867	C0441610;C4255448;C1962945;C1548003;C2939420;C1561542;C0043299;C0817096;C0024109;C0027627
ROCO_CLEF_59818	C0021102;C0262950;C0021107
ROCO_CLEF_36658	C3839460;C0817096;C0040405;C0040395;C0025066;C0024109;C0699493;C0687152;C0006255;C0034579;C0015264;C0042449;C0239313
ROCO_CLEF_30007	C0687028;C0015252;C0227665;C0007876;C0702058;C0607422;C0021485;C1552858;C0771711;C0012359;C0728940;C0221198;C0022646;C0030274;C1533685;C1550227;C0449900;C2985765;C0009924;C0772294;C0184905
ROCO_CLEF_44700	C1522577;C1553386;C0817096
ROCO_CLEF_06378	C0228505;C1515974;C0332149;C0076638;C0013812;C0933845;C0026649;C0117002;C0023078;C1550631;C4284930;C4284931;C0040132
ROCO_CLEF_56581	C0441610;C0003086;C0179081
ROCO_CLEF_04005	C0023884;C0796494;C0441633
ROCO_CLEF_64319	C3244072;C0018792;C1546572;C0007431;C0723338;C0398296
ROCO_CLEF_55259	C1458156;C0040395;C0034579;C0441633;C0040405
ROCO_CLEF_52168	C0027530;C1322279;C0180921;C1261287;C0700124;C0016356;C0014876;C2004489;C0087111;C0033972;C0009924;C0449900;C0232605
ROCO_CLEF_12148	C0751437;C0227813;C1524073;C1522577
ROCO_CLEF_59764	C0751437;C1552858;C0751438;C0015252;C0007876;C0244399;C0184252;C0018792;C1186983;C0728940;C0524422;C0184905
ROCO_CLEF_21306	C0043299;C1548003;C1962945
ROCO_CLEF_13770	C0205160;C1513916;C0001430
ROCO_CLEF_00658	C2985765;C0441633;C0003842;C1550472
ROCO_CLEF_70733	C1458156;C1561543;C2699153;C4282132;C0543467
ROCO_CLEF_33442	C0013516;C0183129;C2243117
ROCO_CLEF_62037	C0441633;C1550291
ROCO_CLEF_56489	C1444662;C0751438;C0231881
ROCO_CLEF_23778	C0005767;C0175676;C0005768;C0162868;C0041618;C0229664;C0203463;C0554756;C0003842
ROCO_CLEF_26519	C0772294;C2951888;C0037303;C0221198
ROCO_CLEF_17582	C1962945;C1548003;C1522577;C0043299;C1184741
ROCO_CLEF_00952	C0033252;C0205400;C0521377;C0009368;C0000726;C0441633
ROCO_CLEF_12900	C1963113;C1550278;C0001629;C0040184;C0441254;C0043299;C1305694;C1548003;C1550227;C1962945;C0180979
ROCO_CLEF_30258	C0028778;C3244072;C0741968;C0854571;C0003842
ROCO_CLEF_12877	C0040184;C0021102;C0021107;C0001511;C0935598
ROCO_CLEF_52808	C0002978;C1705817
ROCO_CLEF_45926	C3244072;C0175676;C0041618;C0205400;C0203463
ROCO_CLEF_04412	C0040395;C3263723;C0034579;C1561538;C0010957;C0034770;C0040405
ROCO_CLEF_20101	C0006141;C0024671;C0564182
ROCO_CLEF_22908	C0233256;C0442743;C0030797;C1561540;C0607422
ROCO_CLEF_31364	C0040395;C0034579;C0607422;C0040405
ROCO_CLEF_02817	C0028429;C0024947;C0004454
ROCO_CLEF_30143	C0042241;C0152097;C0011980;C0772294;C0607422;C0441633;C0221198;C0584884
ROCO_CLEF_08705	C0020164;C0001209;C1184741;C0018670
ROCO_CLEF_48272	C1548003;C1962945;C0040067;C0043299;C0018563
ROCO_CLEF_32897	C0939261;C0376675;C0205400;C0021853;C2985765;C0009924;C0441633;C0723323;C0449900
ROCO_CLEF_63795	C0013516;C0203378;C0203379;C0183129;C2355627;C0018792;C0018827;C0221533;C0013524
ROCO_CLEF_18254	C0772294;C0221198
ROCO_CLEF_59224	C0497156;C0027530;C0040395;C0229730;C0034579;C0744971;C0441633;C0040405
ROCO_CLEF_11616	C0720099;C0687028;C2926735;C0332534;C2010848;C0221423;C0456824;C0005388;C3245511;C0000726;C1550227;C0008307;C1561538
ROCO_CLEF_64920	C0772294;C0677554;C0221198
ROCO_CLEF_41548	C0042449;C1962945;C1548003;C1135564;C0751438;C0043299;C3245511;C0038257;C1829459
ROCO_CLEF_49143	C1552858;C0015252;C0007876;C0441633;C0728940;C0184905
ROCO_CLEF_63552	C0013516;C0203378;C0203379;C0018827;C1705273;C0031843;C0018792;C1995642;C0221533;C0013524;C2004489;C0184252;C1186983;C0554756;C1704457;C1553386;C0183129;C0232605;C0524422
ROCO_CLEF_54854	C0013990;C0596790;C0024109
ROCO_CLEF_26811	C0004056;C2712334;C0024109;C2827071;C3714636;C0679316;C0349707
ROCO_CLEF_64947	C0015027
ROCO_CLEF_12509	C1697779;C1548003;C0021102;C0021107;C0043299;C1962945
ROCO_CLEF_60508	C0040395;C0034579;C0441633;C0040405;C0543467
ROCO_CLEF_36123	C0028429;C0034896;C0015392;C0012725
ROCO_CLEF_18151	C0203463;C0175676;C0041618
ROCO_CLEF_11688	C0183355;C0022077;C0728940;C0751438;C1552858;C0015252;C0412555;C0041618;C0035139;C0026018;C0441587;C0007876;C0184905
ROCO_CLEF_60471	C1261381;C0262950;C1561542
ROCO_CLEF_04743	C0040421;C0227813;C1524073;C0022742;C1553386;C0175730;C0392148;C0150312;C0606665;C1185944
ROCO_CLEF_59430	C0043299;C1548003;C1561542;C1962945
ROCO_CLEF_66354	C0007723;C0376495
ROCO_CLEF_00614	C0018827;C1517569;C2355627
ROCO_CLEF_65503	C4084721;C0040426
ROCO_CLEF_24261	C0042149;C0241158
ROCO_CLEF_26411	C0857121;C0085559;C2712122;C1517029;C0231451;C0721436;C0857353;C0018313;C1256457;C0233494;C0003364;C0849867;C1517030;C0076097;C0278726;C4012081;C1517660;C1184148;C0699082;C0231746
ROCO_CLEF_41286	C0224417;C1306232
ROCO_CLEF_05911	C0013769;C0723323
ROCO_CLEF_54087	C1552858;C0935598;C0015252;C0007876;C0728940;C0184905
ROCO_CLEF_46804	C0751437;C0027530;C0221874;C0024202;C0229730;C1552839;C0751438;C0741968;C0746922
ROCO_CLEF_18306	C0015450;C0030580;C0441633
ROCO_CLEF_43927	C1561540
ROCO_CLEF_26743	C0018563;C0043299;C1548003;C1962945
ROCO_CLEF_64259	C0040395;C1285092;C0040405;C0034579;C0772294;C0030580;C0221198
ROCO_CLEF_27532	C0751437;C0028778;C1697779;C0002978;C0854571;C0003842
ROCO_CLEF_07695	C1306232;C0233256;C0007285;C1552840;C0043262;C0007776;C0022655
ROCO_CLEF_20860	C1553386;C0042232;C0005682;C0009924;C0449900;C1185740
ROCO_CLEF_58266	C0005847;C0770655;C0918012;C0456605
ROCO_CLEF_26511	C0376335;C1135564;C0543467
ROCO_CLEF_46156	C0042149;C0175730;C0030797;C0009924;C0449900
ROCO_CLEF_39647	C1550278;C0001629;C0227665;C1305694;C0022646
ROCO_CLEF_39588	C0772294;C0079595;C0332516;C0006104;C1305866;C0231881;C0221198;C0017651
ROCO_CLEF_24770	C0286840;C0030797;C3244287
ROCO_CLEF_53450	C0025066;C0040395;C0687702;C0233929;C0018246;C0046056;C4055506;C0441633
ROCO_CLEF_42475	C0184666;C0013990;C1963215;C0040405;C0040395;C0238404;C0034579;C0032326;C0000726;C0817096
ROCO_CLEF_19817	C0003483;C4255126;C0002978;C1548816;C3891555;C0000726;C0003842;C0018670
ROCO_CLEF_11697	C0021853;C0040405;C0040395;C0034579;C4227884;C0854217;C1320102;C0025474;C1185740
ROCO_CLEF_29828	C0040395;C0549207;C0034579;C0772294;C0221198;C0040405
ROCO_CLEF_63145	C0921176;C3496276;C0309093;C0772294;C0525187;C0796494;C0221198;C3496277;C3496275
ROCO_CLEF_03394	C0228505;C0817096;C0024109
ROCO_CLEF_17205	C0042149;C0014180;C1553386;C0412555;C0041618;C0476089;C1550633;C0935623
ROCO_CLEF_37501	C0441633;C0746922;C0817096;C0024947;C0004454
ROCO_CLEF_13270	C0185044;C0441633;C0231881;C0262386
ROCO_CLEF_67292	C1705199
ROCO_CLEF_52207	C0231519;C0240795;C1962945;C0022742;C0025663;C0751438;C0043299;C0556030;C0015811;C1548003;C1176472;C1140621;C0524414;C2347268;C0039866
ROCO_CLEF_01314	C0441633;C0016504;C0412555;C0041618
ROCO_CLEF_31842	C1185729;C0003483
ROCO_CLEF_38158	C0772294;C0221198;C0040426;C1561543
ROCO_CLEF_62676	C0678211;C0035007;C3887460;C0231881;C0233494
ROCO_CLEF_08739	C0587668;C0031809;C0240795;C0556030;C2347268;C0231519;C0439095;C0301559;C0150305;C0543467;C0018670
ROCO_CLEF_32790	C0040395;C0024202;C0034579;C0017547;C0441633;C0040405
ROCO_CLEF_52204	C0040395;C0034579;C1962958;C0079595;C0231881;C0040405;C0018670
ROCO_CLEF_58424	C0740422;C1709311;C2982736;C0183009;C1561538
ROCO_CLEF_29333	C0011164;C0349676;C0333549
ROCO_CLEF_09624	C0040395;C0034579;C0024109;C0040405
ROCO_CLEF_64102	C1140999;C0014268
ROCO_CLEF_08507	C1963113;C0040184;C1561542;C4283785;C0521530;C0543467
ROCO_CLEF_41580	C1550472;C0175676;C0014245;C0934502;C0041618;C0013303;C0203463
ROCO_CLEF_65418	C0186193;C0565345;C1548003;C0228391;C0030797;C0043299;C0019552;C0003893;C1962945
ROCO_CLEF_03506	C0025663;C0772294;C0007966;C0224121;C0221198
ROCO_CLEF_54958	C1303192;C1179694;C0549207
ROCO_CLEF_58086	C1962945;C0015252;C1551379;C0043299;C0374082;C2242558;C0700185;C0333581;C0728940;C1140621
ROCO_CLEF_05809	C0036624
ROCO_CLEF_03895	C0027530;C0076638;C1962958;C0117002;C0040578;C0040132
ROCO_CLEF_05611	C0040395;C0014245;C0687028;C0030274;C0034579;C0037993;C1550227;C0009924;C0441633;C0040405;C0449900
ROCO_CLEF_53831	C0040395;C0221198;C0034579;C0772294;C0441633;C0040405
ROCO_CLEF_07334	C0175676;C1553386;C0041618;C4084721;C0003943;C0007431;C0398296
ROCO_CLEF_03406	C1561528;C0585442;C1578513;C0741302;C3541899;C4084721;C0020164;C0262950;C0029463
ROCO_CLEF_68790	C0424530;C1265876;C0006141;C0029053
ROCO_CLEF_33799	C0040395;C0392148;C0042449;C0087086;C0000726;C0150312;C0025474;C0441633
ROCO_CLEF_68958	C0008350;C0242216;C1561543;C0947622
ROCO_CLEF_65226	C0033085;C1306232;C1995642;C0442184;C0180979
ROCO_CLEF_67054	C0231519;C0556030;C2347268;C0240795
ROCO_CLEF_25299	C3244072;C0041638;C0003842
ROCO_CLEF_05424	C2242558;C0040395;C0040405;C0034579;C1551379;C0374082;C0037884;C0700185;C0333581
ROCO_CLEF_05209	C0030647;C3203359;C0262386;C0185044;C0118228
ROCO_CLEF_15126	C0772294;C0037303;C2951888;C0221198
ROCO_CLEF_44288	C1962945;C1548003;C1561542;C0043299;C0543467
ROCO_CLEF_69345	C0228505;C0040395;C0034579;C0817096;C0024109;C0040405
ROCO_CLEF_00750	C0043299;C0022378;C0175730;C1306232;C1962945;C1548003;C0035139;C0399839;C0021853;C0000726;C0441587;C0994537
ROCO_CLEF_08589	C0005682;C0441144;C1704454;C0018670
ROCO_CLEF_62734	C1963113;C1709311;C0022742;C0223863;C4283785;C4086922
ROCO_CLEF_61137	C1322279;C0441633;C0700124;C0021853
ROCO_CLEF_08694	C0935598;C1444662;C0013987
ROCO_CLEF_08607	C0032005;C0728940;C0935598;C1552858;C0230054;C0015252;C0439826;C0007876;C0039259;C0037361;C0184905
ROCO_CLEF_44878	C0441633;C1550472
ROCO_CLEF_44357	C0029053;C1548827;C0006282;C1265876;C0521530;C0024109
ROCO_CLEF_09941	C1322279;C0034770;C1552858;C0700124;C0015252;C0007876;C0205400;C0244399;C0021853;C0728940;C0184905;C0012359
ROCO_CLEF_49775	C0184666;C0040395;C0034579;C0006104;C0441633;C0040405
ROCO_CLEF_32535	C0728940;C1709311;C1552858;C0015252;C0035561;C0038293;C0007876;C0184905
ROCO_CLEF_58220	C0085195;C1963578;C0181467;C0600111
ROCO_CLEF_27840	C1112634;C0154916;C0002978;C0015392;C0581712;C1836830;C0684320;C0684321;C0960907
ROCO_CLEF_24509	C1548003;C1962945;C0772294;C0024687;C0043299;C0221198
ROCO_CLEF_29263	C1254042;C0678723
ROCO_CLEF_28402	C0751437;C1179589;C0491916
ROCO_CLEF_14361	C0817096
ROCO_CLEF_64154	C1963113;C1962945;C1548003;C0043299;C0043262
ROCO_CLEF_45136	C0040395;C0224429;C0034579;C0030797;C0205400;C0009924;C1185740;C0040405;C0020885;C0449900
ROCO_CLEF_44196	C0741968;C0002978;C3245511;C0003842
ROCO_CLEF_04614	C1962945;C1548003;C0772294;C0043299;C0817096;C1553496;C0024109;C0221198;C0729233
ROCO_CLEF_17259	C1963113;C4255126;C0002978;C0162868;C1548816;C0035561;C3891555;C0024109
ROCO_CLEF_63392	C0687702;C0040395;C0040399;C0034579;C0233929;C0040405
ROCO_CLEF_04796	C0817096;C0024109;C0003842
ROCO_CLEF_11610	C0026367;C0024687;C0751438
ROCO_CLEF_36910	C0003483;C1553386;C0024109;C0003842
ROCO_CLEF_45969	C0934502
ROCO_CLEF_56783	C0002978
ROCO_CLEF_61071	C0700124;C1962945;C0034896;C1548003;C1322279;C0014245;C0772294;C0043299;C0009368;C4049883;C0000726;C0441144;C0221198;C0227391;C0012359
ROCO_CLEF_07692	C0025663;C1300072
ROCO_CLEF_56707	C0013516;C0087086;C0183129;C2243117
ROCO_CLEF_47556	C0013604;C0262950
ROCO_CLEF_45705	C0817096
ROCO_CLEF_23820	C0817096
ROCO_CLEF_59266	C0042149;C0412555;C0041618
ROCO_CLEF_37999	C0441633;C0024947;C0004454
ROCO_CLEF_28330	C0013769;C0220825;C4049705;C4085643;C1561543;C4321335;C4049706
ROCO_CLEF_17557	C1962945;C1548003;C0043299;C0015811;C1704356
ROCO_CLEF_04763	C0040395;C0607422;C0034579;C0009368;C0000726;C0040405
ROCO_CLEF_55276	C0040395;C1709311;C0034579;C0037993;C0023884;C0441633;C0040405
ROCO_CLEF_11156	C0005847
ROCO_CLEF_47089	C0240795;C0556030;C1705273;C0021102;C0687028;C0021107;C0231519;C0005388;C0031843;C3245511;C0038257;C1550227;C2347268
ROCO_CLEF_49008	C0751437;C2677820;C0920807;C1552826;C0224153;C0920808;C0036277;C0226573;C0224240;C1184808
ROCO_CLEF_68704	C3244072;C0040395;C2586211;C0042449;C0034579;C0817096;C0040405
ROCO_CLEF_51457	C0027530;C0040395;C0034579;C0441633;C0040405
ROCO_CLEF_65671	C0036429;C0228391;C0030797;C0015811;C0019552;C0262950
ROCO_CLEF_62641	C0031809;C0723285;C0034579;C0150312;C0040405;C0582103;C0040395
ROCO_CLEF_38870	C0152353;C0412555;C0041618
ROCO_CLEF_24051	C0817096
ROCO_CLEF_44687	C1546677;C0087153;C1548003;C1962945;C1546767;C0796095;C0042497;C0043299;C0231303;C0817096;C2936859;C0332448;C0796110;C2936904
ROCO_CLEF_22178	C0180921;C0175722;C3244315;C0016356;C1522411;C2004489;C0232605
ROCO_CLEF_23884	C0039099;C0034627;C0947630;C0007285;C0205400;C0442743;C2985765;C0441633;C0262950
ROCO_CLEF_11355	C0772294;C0441633;C0000925;C0221198
ROCO_CLEF_07391	C1561540;C1553386;C0000726;C0041618
ROCO_CLEF_59205	C0013687;C1546613;C0947630;C0442031;C2355627;C0018827
ROCO_CLEF_65130	C0772294;C0007431;C0221198;C0398296
ROCO_CLEF_63796	C0241158
ROCO_CLEF_41057	C0024202;C0456269;C0772294;C0746922;C0221198;C0022646
ROCO_CLEF_21267	C0030797;C0005682
ROCO_CLEF_66149	C1261287
ROCO_CLEF_04420	C0162578;C0003483;C4255126;C1704454;C0002978;C0015252;C1548816;C0087086;C3891555;C0441144;C0728940
ROCO_CLEF_46136	C0013687;C0308269;C1546613;C0009924;C0449900
ROCO_CLEF_19048	C0040395;C0224155;C0038351;C1450294;C0607422
ROCO_CLEF_33532	C1550512;C0003483;C0021107;C0035139;C0408884;C0029976;C0441633
ROCO_CLEF_35774	C0013801;C0013778;C0180600;C0013798;C0439775;C0232197;C1623258;C0018792;C1442948;C0524422
ROCO_CLEF_49356	C0332448;C0817096;C1546677;C1561538;C0024109
ROCO_CLEF_63269	C0817096;C0796494;C0040405;C0040395;C0040399;C0025066;C0746922;C0024109;C0228505;C1293134;C0034579;C0441633;C0751437;C0024202;C0460005;C0003842
ROCO_CLEF_07001	C1548801;C0030797;C0005847
ROCO_CLEF_04711	C0084136;C0041582;C3244306;C1269801;C0376675;C0543467;C0241311
ROCO_CLEF_11822	C0013687;C0228505;C0497156;C1546613;C0025066;C0817096;C0024109;C0441633
ROCO_CLEF_31283	C0939261;C0041618;C0412555;C0001575
ROCO_CLEF_63045	C1578486;C1550655
ROCO_CLEF_20215	C0013103;C0012621
ROCO_CLEF_01961	C4329648;C0034770;C4085643;C4049705;C4321335;C0180053;C4049706;C0228174;C0006104;C2355627;C0018827;C1550699
ROCO_CLEF_27772	C2242558;C0008520;C0015392;C0934502;C0593762;C0334094;C0374082;C1551379;C0700185;C0035298;C0333581;C1553386;C0035331
ROCO_CLEF_59499	C0228505;C0772294;C0221198;C0243144
ROCO_CLEF_03741	C0935598
ROCO_CLEF_45404	C0772294;C0025526;C1861360;C0018563;C1176472;C0221198
ROCO_CLEF_15802	C0043299;C1548003;C1962945
ROCO_CLEF_21163	C1300072;C0024687
ROCO_CLEF_25849	C0002978;C3203359;C1705817;C0003483
ROCO_CLEF_34906	C0817096;C0729233
ROCO_CLEF_62239	C0008307
ROCO_CLEF_17387	C0228174;C0006104;C0013604
ROCO_CLEF_67631	C0687702;C0040395;C0076638;C2939420;C0034579;C0233929;C1328685;C0020889;C0117002;C0040405;C0027627;C0040132
ROCO_CLEF_63674	C0031809;C0935598;C0030797;C0041618;C0183346;C0005682;C1552826;C0582103;C0412555
ROCO_CLEF_41049	C0034896;C0221198;C0003461;C0030797;C0042232;C3539018;C0772294;C0233494;C0796561
ROCO_CLEF_28896	C0751437;C2355627;C0018827
ROCO_CLEF_57735	C0040184;C0772294;C0150312;C0221198
ROCO_CLEF_09507	C0040395;C0034579;C0000726;C0040405
ROCO_CLEF_04475	C1306232;C2004489;C0184252;C1186983;C1550604;C0554756;C0012000;C0232605
ROCO_CLEF_38502	C1548003;C1962945;C0015385;C0772294;C0043299;C0221198
ROCO_CLEF_36690	C1318154;C1705273;C0013303;C0031843;C0021853;C0025474
ROCO_CLEF_36989	C0028429;C0024947;C1962944;C0921176;C0004454;C0525187;C0009068;C0456378;C4254354;C0262950
ROCO_CLEF_30668	C0040395;C0034579;C0000726;C0441633;C0040405
ROCO_CLEF_43922	C0939261;C1514893;C0024109;C0796494;C2349988
